"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38"
"163.3/1327",-0.0603295749883847,0.0152908536554173,-0.0678919964698404,0.114360110133091,0.0853403024311688,0.0871937746372583,0.0266168604348602,0.0850611177912602,-0.0683491579304487,-0.0346126167005712,-0.0241407264874308,0.121902521241003,-0.0290982795983826,0.112917270216704,-0.162523936544723,0.06241081008418,0.0129230713905801,0.0981625828411689,0.000232679126948562,-0.0749796282631203,0.0561957455601675,-0.0688251533668928,0.00544239945150492,0.111394270289733,-0.0596595838300954,0.0495466603085258,-0.0590116159310624,-0.0310095884455039,0.0211033726296176,-0.0284301634086523,0.0209719162822867,0.0292054124244126,-0.024210450227066,-0.0795203749786499,-0.055450293153304,0.00785140745941633,-0.0349476255114575,0.0233208759834462
"186.3/1627",-0.0497007213436146,0.055754829000387,0.0360712872231667,0.0462018188815989,-0.0454434880594635,-0.00771461427213345,0.0179085643914589,0.0268069189166364,-0.0405944144960814,-0.124745421204714,-0.0590802054106754,0.170776603401289,-0.186490727622197,-0.0735800829105273,-0.0862701785828715,0.0492295740632361,0.018619490140941,-0.0186269616848635,0.219476700729987,0.0787811451728437,0.175364161618925,0.12562773112368,-0.0120131666790395,-0.01139027200375,-0.0190353085770993,0.0991709697562519,0.160494197722283,-0.00975162863254742,0.147066031563174,-0.0535565045482126,0.089927062605939,-0.0478225144767158,0.0874372349997622,0.0514786341989689,0.160586725213405,0.278434147592193,0.0144641393755037,0.0206619973800443
"186.5/1629",-0.126134908798122,0.00707905281459576,0.0558591573554463,-0.0213414026494947,-0.0950348272212187,0.0479921338704701,-0.0240872163990068,-0.0743104922525532,0.00637967955740795,0.0283032278164405,-0.179889347620124,0.140014215933853,-0.0912185304753566,-0.113143711938402,-0.017061884428842,0.0772869824208174,-0.0158578172457971,-0.0282454087374856,0.0859652444281826,0.0684747100197311,0.0473557643810759,0.0535467748558019,0.0545916554207692,-0.081290818705083,0.0381248970799561,0.178869863705124,0.0424920231177018,0.08548909648592,-0.193527797835257,0.130879665970333,-0.226652809749407,0.0202851307134177,0.0475393568518129,-0.0224912306397639,0.095488706638029,-0.141213990744573,0.170235324705812,-0.0812802890664453
"191/543",-0.0354371082841853,0.035732518755552,0.020710265937984,0.0790316175732673,-0.0390308765365352,0.00118310674167047,0.0421656539621949,-0.0214171199141796,0.0274047834631192,-0.0388670570876269,-0.0200957177465983,0.0124363122146669,-0.0382973623789036,0.0364821452324448,-0.0512149986698911,-0.010047410413935,-0.0799158790576818,0.0523264643600791,0.0289596812530467,0.00965846192326406,0.0185529224419544,0.0400288739261843,0.00519888569904837,0.0421963465173862,0.0316241958008974,-0.00217905472782413,-0.0526334120310192,-0.0432107643383228,0.049775529033927,-0.0497325504004133,-0.0383362404516469,-0.00796766361419033,-0.0143675911386595,-0.0486544168595408,0.0234511826982226,-0.0582950653194745,0.176844542436948,-0.0365099076137434
"203.5/1154",-0.0173545367783657,-0.0545448962299904,0.0752172392296631,0.114860879687887,0.000881500853835964,-0.0982167268537817,-0.0316250831735612,-0.0245128024331936,-0.194953864539519,0.0175831013189058,-0.0111796594655496,-0.0435410994938559,-0.0126727501768704,0.0124206023482386,0.0219032127315498,-0.0259310099158739,0.0952358165965725,0.0594800733817954,0.0186972291077522,-0.0182019532898612,0.00508256254339702,0.0342233311299401,-0.0255632511007055,-0.0253738851973845,0.0534691843469051,-0.0463939899557511,0.0335223497854565,-0.01123885620352,0.00269599794126699,-0.0368795834587485,-0.0658031269268027,0.0144587478748786,-0.0875203076138683,-0.0511231088932439,0.00685178172334152,0.0204323612763803,-0.0130069007424243,-0.0105032847307853
"210/1419",0.123421980656193,0.00651968366771553,0.0585400610935921,0.0861097154907344,-0.00446890486783589,0.00890360831724285,0.101970778604694,-0.0477409344426682,-0.000435766066120422,0.0210438851348796,-0.0407575439441427,-0.00274665212182816,-0.00731269550056289,0.0444463721018319,-0.0255697071820817,0.0147289532645677,-0.0446223094218711,-0.0196007376654387,0.0469550602527276,-0.00289403649589361,0.117163301988046,0.0333945300716593,0.0574272403639286,-0.0495096085602595,-0.0383428813917395,0.0978384845362098,-0.055362636047007,-0.0468234563735803,-0.0900452165111201,-0.0642979023042253,0.0494458066852952,-0.11523567903357,-0.0293830056979027,-0.0138677229760687,0.00154113189300509,-0.00121932150533044,0.00741445783142098,-0.00776677495552953
"217.9/1006",0.0056636006433426,0.076233762054993,0.0462307494720903,0.096979012477358,-0.0490769343279076,-0.0296643862225177,-0.0295221170079495,-0.0529104804055645,0.0428746922187914,0.033471989866632,0.0139079412474423,0.0759016570631526,0.100419505015595,0.074810197015117,0.00289613239089258,0.00186123705688613,-0.0334923078288402,0.0802247194038968,-0.0284561163981767,-0.0245885417668163,0.0406452230914595,-0.0984236769795732,-0.0996529693642842,-0.108778520840492,0.0452367882744709,-0.0632221656668056,0.0384420326024472,-0.00372854724949201,0.00587029651240787,0.0905464251768737,0.000240704953471829,-0.0691729619009752,-0.0506832236640599,-0.0478732604734133,0.08672198946791,0.00334352617376922,0.0274599131222902,-0.0625097569395854
"218.2/1007",-0.0153721437163423,0.0919454159402906,0.0440460498156243,0.067385157976625,-0.0544309325683613,-0.00261221051418142,-0.0194694953417938,-0.0931926724995854,0.00570703289745036,0.0620625134515195,0.0527197743377386,0.025518153308679,0.0890273709685451,0.10040505530694,-0.0142124330872981,-0.0410062062769999,-0.0274563011601944,0.0378923122629335,-0.00894199604306667,-0.069997350973277,0.0193404675896069,-0.0554703403699067,-0.0923804682409346,-0.0600806299830597,-0.0133328580945091,-0.0523941415787464,0.0127851174646391,0.0208426055539066,-0.0460880956656058,0.121378989061189,0.008643213628612,0.0119324518842441,-0.0740293308039213,-0.0490589066141781,0.0775931243537748,-0.0380924967049451,0.0144154975749823,-0.00606302695682673
"220.2/1255",-0.0751834509042028,0.0963066058013938,-0.0121235000926098,0.061370097212414,0.099186788451521,-0.0249054706089668,-0.0619186531271325,-0.00284701487427893,0.0277775118715481,-0.0369322803982546,-0.0496319411868477,-0.0271403414618763,0.0361536482599015,0.0854570278089938,0.0799054790261441,0.045535997833517,0.0110357643464291,-0.059388223072576,-0.0175968406931673,0.0631467925641171,-0.0597375182245485,0.000347334884538188,0.0471873528796905,-0.1014767333675,0.0225547666413461,0.0969964597635255,0.0426650989243765,0.0822438951349879,-0.0131351373198402,-0.110030708518263,-0.0355332530882901,-0.0243508181497548,0.032955971249314,0.13135063498984,-0.019264682183434,0.0275983207271898,-0.0332996909764819,0.0982107631868332
"222.8/1074",-0.0217006486615807,0.0829272035823585,0.041396800096633,0.0180952119182057,-0.0376934743215991,-0.107561865750422,-0.00247422567412616,-0.00719961039151504,-0.00360498537410605,-0.0479940063699172,0.0215913478295758,0.087452341901192,-0.0391427903931895,0.00513184946671341,-0.133308573560258,-0.0564798149558431,-0.0932237324485158,0.0167358875358808,0.0498081089500298,-0.0101259123005318,0.00742369920154432,0.127751328275924,0.00607436304527461,0.0555496320618265,0.0217313074252604,-0.00109119189112406,-0.0379814796298857,-0.133642371051622,0.039999056986606,-0.114286800408126,-0.073538023222737,-0.0951865748778599,-0.021686677169035,0.0120107915584287,-0.00278887056827764,0.00871721181087844,0.0164921698427009,-0.0166801598515749
"223.3/1076",-0.0570211467387664,0.112956953924061,0.0502091405576948,0.0146316019725658,-0.071585250008568,0.00626129060130376,0.0326591300185055,-0.0165531060567547,0.00222447418487157,-0.0241410997436661,0.0366783628463172,0.0543750652749387,-0.041160803658685,-0.0264185371248002,-0.0756834835819224,-0.120411590019398,-0.0981478842455961,-0.0677432403222845,0.0812855169200576,-0.0397883195920801,-0.00989623495034374,0.104442891990239,0.0106261368960065,-0.00203477645367211,-0.0187954916339894,-0.065606012988432,-0.0172246559758858,-0.0758333443924406,0.0402141069548412,-0.0486381178461235,-0.0466532274053723,0.0033475454100442,-0.0861335761786283,-0.00513185056352439,0.0382809237418911,0.0445955459585576,0.0192440139419662,0.0136893024206283
"242.9/572",-0.0593648598099842,-0.0824885429284397,-0.00293998337489394,0.0451180477906374,-0.0414386398585911,-0.032489066591689,-0.0653524778738749,-0.00475723775683347,-0.0416441263500758,0.0644840089280857,0.0840476790540083,0.0776831731503686,-0.0829978086274401,0.00135003085130419,0.0877275063736433,-0.032674530165584,-0.0394670249264425,0.025823874322765,0.0377866653578338,-0.0247001724362067,-0.0476292409708546,-0.00332547591356729,-0.074909610640663,-0.019895960669176,0.00150570414799443,0.0116687978540754,-0.00171208355322859,-0.0288880450891571,-0.103907229235245,-0.050427240239758,-0.0377009181562513,-0.0525295150409687,0.016008984742575,-0.056603721341243,-0.0382680072285469,0.000666442894672628,-0.0772033376801016,0.0995483626862608
"260.9/1007",-0.0688073833828037,0.0387228222126316,0.0586845013536047,0.11893996828424,-0.00285636928021333,-0.00566194468510006,-0.00195963750479382,-0.00903302248918747,0.0274707613048507,-0.0197454704085332,0.022963225147445,0.10984416068558,0.0934940855076006,0.0602257901950079,-5.20982795214504e-05,0.0507855265429033,0.0102951212634842,-0.00346353795033445,0.0330817076234578,-0.10151430074785,-0.00566906755429249,-0.0173027673355699,-0.0965601916494982,-0.0373177718212482,-0.00528438472779615,-0.00736443787077139,0.0199356958638142,0.013036110720886,0.00521441411235765,0.0884501384849732,-0.0799956239130311,-0.0745281179779041,-0.0652547470746063,0.0694268685917796,-0.0666059625271396,-0.0544305942247032,-0.145793135044644,0.0737633168742956
"271.1/2121",0.114339104881657,-0.0700255122165461,-0.07891135457121,0.01995716669548,0.134534574814417,0.0377734920043111,0.137419876823477,-0.0218298845162508,-0.0839829146672881,0.193685684613499,0.0761825798979612,0.0832033341531869,-0.00382492947547239,-0.146880139065633,0.0323452513910311,0.341671098432886,-0.0221246422307135,0.00330564042753135,-0.106600025129922,0.0880750851782215,0.0216142160732229,0.0179619270795824,-0.092675529766136,-0.0845049808691108,-0.108937812809765,0.0425382012869982,0.0548960778635267,-0.0949581877657841,0.0369557960802513,0.161253251626489,-0.150516215709441,0.0496354071111435,-0.0830964488360244,-0.126718172168276,-0.122965940889214,0.0765716768900173,0.0468930249658615,0.0634419266423655
"271.4/2119",-0.0967713246531734,-0.1113933511093,-0.049931879761792,0.150951059684698,0.0684841394937973,0.0302669116502257,-0.030153553363211,-0.245078764714412,0.161326566088814,0.0844372720399295,0.0139140520093551,-0.189867026693161,0.0387597309378974,0.0462280852259459,0.0796636136603253,0.0043628741763709,-0.103474356700329,0.00470203116583874,-0.160806673432145,-0.0309370433813586,-0.119273578569008,0.0935019762808561,-0.059640200865561,-0.144037198303739,-0.116327051330639,0.0610709570678497,-0.00273862885119462,0.16115231577523,-0.0970438345830159,-0.0144814324000828,0.18919096829469,0.0101356909503167,-0.0259511022642661,0.102729046070635,-0.0627039137078064,-0.167545042992258,0.0669647425361241,-0.0781731382469271
"272.8/241",0.0781137629563414,-0.0293440416029954,-0.0210742438585204,0.0300081512669878,0.0480281377236575,-0.0733452115807506,-0.0349024362869187,0.0152082481650077,0.030609373821622,-0.0192412600581877,0.0358353352672185,-0.0212918713543658,0.0178999947422855,-0.00642667017271448,-0.0237491211104448,-0.114120991038313,-0.0404213464675802,0.0436847056259604,0.0336215287705292,0.00980782698173789,0.00197568083258817,0.0366943166390095,0.0524769363947369,-0.0271261800744109,-0.0139808867616335,-0.0743326692651473,0.0412587073649704,-0.0376030705575426,-0.0662275951393938,-0.0431922000238759,0.0348941138667938,0.0514548300386884,0.00107753090262822,-0.0117541548652321,-0.0118902326361753,0.0317515695544176,0.0128526654886737,0.014287102129253
"273.2/241",0.0436947898522148,0.0104838411676305,0.0214218374400571,0.049339076312876,0.061849603773253,-0.0667382169455195,-0.0009511290438008,0.0248404689859477,0.0490334674018757,-0.0331472956992448,0.107376256184426,-0.00636897931236974,0.0354733525792967,-0.072812802318311,-0.0601975899908796,-0.00990933413754525,-0.0180259249310631,0.0466587852590785,0.0321912129850302,-0.00444322609213413,-0.0147012338364613,0.0690602675265533,0.0170471619697813,-0.0330848804929044,0.0480713594871409,-0.00684479218453915,0.01141005492212,0.000268099768173625,-0.0285279283964533,-0.00796826915649663,-0.0746524759320158,0.0786787804623226,-0.0147755278389511,0.0196042246013056,0.0643317610516449,-0.0194552907611363,-0.00140468476033384,-0.0686114315016599
"273.7/244",-0.0102113403351689,0.0530135143608035,0.0471110094775215,0.0573424925071049,0.0391280393785311,-0.0325090167380417,0.0172427704214482,0.0147400881293742,0.0453293966146498,0.0130494657230194,0.097897098724728,0.0219860354108865,0.0165012527153354,-0.0608564909071241,-0.0256653981103496,-0.00218532374361805,0.0464406820576287,0.0196806943889904,-0.0477123120934394,-0.00786609002524328,0.00336279956150899,0.0454189095268044,0.0236440852513945,-0.0184202568613864,0.0397365086657745,0.0130936288464011,-0.0170709192263809,0.0285549097705738,-0.0284157170368275,0.00946585975601524,-0.0171709265993028,-0.00258618439976905,-0.000825637569460614,0.0352770805400712,-0.0139785090319702,-0.0237722521961935,0.0232699625151536,-0.0659976132334825
"275/358",0.0405775233090827,0.0963770133575131,-0.0720923724321732,0.0322443028714804,-0.0784923223817587,0.049872827295529,0.0194050029759998,-0.053954699646142,-0.0674047949696434,0.0609110587474469,0.0474939482124171,0.00341256772165642,0.111771558733679,0.0633995237615548,0.0261235538357061,-0.0685400608496163,0.00737323366616602,0.0475125650072939,0.0456893776640376,0.0635042153416809,0.0254860130312513,0.00319366595357442,0.00993216367298832,0.06989923294442,0.0301476427244179,0.0428003748541814,-0.0081759984243664,0.0178041665279808,-0.044731720768097,0.0146695888009768,0.0136797549599626,-0.0374427003347488,0.0329511455751551,0.0728585397059741,0.00645121884899073,-0.016167769276207,-0.00255314628642338,-0.110426413753822
"275.5/362",-0.0177751551032414,0.0271486185483492,-0.027020969523893,0.0303536317706051,-0.0291063809458894,0.0190028933086783,0.125955155513371,0.09110147210684,-0.0320218476696816,-0.0212617331637889,-0.0607697941148031,-0.139415345978614,0.153888037961535,0.0295523539045295,-0.0383285887635491,-0.186355718859727,-0.046000730675934,-0.10009816482127,-0.0549105693847186,-0.112067512316694,0.00936842586170612,-0.144453176488644,0.0396986596776618,0.0146992502369295,-0.00342471087576272,0.0491230146431635,0.0401115859691972,-0.165846353596843,-0.0977290614401266,0.0511786190862554,-0.0805906014459462,-0.0215528202796956,-0.035724326206922,-0.158488990412976,0.0390384851691865,0.0221277959356888,0.121184355232097,-0.0419181194563748
"281.8/740",-0.0370372130721694,-0.0484391059324042,-0.0923922477841224,0.0605585107068063,-0.115269768929939,-0.0712332661780779,-0.0210194451253897,0.0169371930058817,-0.121438802721967,0.0874584290548193,0.0488582270940121,0.0417965989613669,-0.0488320655831612,-0.0166010152820463,-0.00862203209410835,0.0477008178717382,-0.0533493952167221,-0.00862108584954454,0.055722792023325,0.0138532864969933,-0.0469047886736559,0.00258886971714274,-0.020848901540135,-0.036497445543141,-0.00710161504877538,0.0374254739274905,-0.0181274015672644,0.0596593785440602,-0.0411317148090064,-0.0788931249991325,-0.0122776927550692,-0.0497973977228195,-0.00326088582150577,-0.00138610605151122,0.0200085285415093,-0.0078242652474279,-0.0288264333040803,0.0466460051603802
"282/740",-0.0405237693440664,-0.0482972928470992,-0.0872081830051031,0.0661655651292634,-0.111144856444154,-0.0711548694305021,-0.0189618006901505,0.00817614651861455,-0.113759351233151,0.0999770155196537,0.0518790580958371,0.0462230135354235,-0.0570345374712475,-0.0278362600152757,-0.00173404026712917,0.0573798696781132,-0.0498613246225685,-0.0181298671312785,0.0479042384169926,0.00734092929844455,-0.0516548391072397,0.00723905578437034,-0.0297780181277123,-0.0464672242407868,-0.01340021340671,0.0422676730270884,-0.0176699531071025,0.056428017606376,-0.0204386290739342,-0.0807106196848365,-0.0229722409275825,-0.0398844920584294,-0.0111235619365891,-0.0140305429832838,0.0033764069639313,0.000588066793536061,-0.0237154077438582,-0.028210403669056
"284.9/1162",0.0600722705520637,0.0693920532706002,-0.167770724909383,0.0373692767162914,-0.0793111387542807,-0.0502062447232243,-0.028008122019773,-0.0609387330713577,0.17369839199115,-0.0454120116883275,0.108723924884008,0.0400464843721555,-0.0306327026009823,-0.0912550483279182,0.0899550000720418,0.0965710432221976,0.0666244310483996,-0.0744351600881497,-0.103766712419116,-0.0732713776418987,0.124775818143551,0.0851622396418271,-0.0773884834003264,-0.00414574116801975,-0.000468201667451508,-0.0305281675812042,-0.0860234215347472,-0.0839914938083338,-0.0210493060966529,0.0179461361468945,0.0812544300230369,-0.0866051053875431,0.0582408297791755,-0.0212792981940839,0.0252348669876786,0.0474519824794555,0.0803095199053422,0.0377156810575932
"285.2/1158",-0.0252528065826965,0.0674751032556999,-0.0487493571579057,-0.0516782541070674,-0.0537492541650493,-0.0745964063025115,-0.0511841330002489,-0.0329528852498551,0.158261505015019,0.00919796849157092,0.101920710380015,0.0150122578749547,0.124283298773655,0.074340736789322,0.102461545364214,0.00938800221440897,0.0570953946828784,-0.0675770848303633,0.0649655014540346,0.0325765735174599,-0.000171435892335355,-0.0112432547711956,-0.0182449436169125,0.03937253019594,0.00866132270015755,0.0294631201969548,-0.0339253953020259,-0.014498520755994,0.0695710093400403,-0.040236190266551,-0.0576168143029735,-0.089202650583224,-0.066651883648109,-0.0275736386769738,0.0611500969223178,0.0608027719377586,0.0473761551722525,-0.110827429242212
"288.8/242",0.0308288428848881,-0.0401345528230988,-0.029805474361056,0.00780420137122957,0.038772731101855,-0.0349852643727334,-0.0349282184912939,0.000239657976171566,0.0281176037774884,-0.185162813993048,0.0207051408242132,0.0328705397622465,0.0391053824273078,-0.0267089361290094,-0.0283809438794217,0.0459745211508538,-0.0883589241199428,0.0332557160450464,0.0750018253038471,-0.0419805658041622,-0.050823767073066,-0.00542718200026635,0.0500179084960547,0.0546728340754089,-0.102171345693017,0.0549588674019472,0.0603007757161497,-0.0947081796597309,-0.109313759053706,0.0032109066695558,0.0541705701350573,0.0378112372612719,-0.0170231376346341,0.0269362447782961,-0.0218383093918284,0.00705090630295706,0.01920369485981,-0.0243662308261566
